"label","DIRECAO","ID"
"DEM","Direita","DEM"
"PP","Direita","PP"
"PMDB","Centro-direita","PMDB"
"PSTU","Esquerda","PSTU"
"PSD","Centro-direita","PSD"
"PSDB","Centro-direita","PSDB"
"PTB","Centro-direita","PTB"
"PPL","Centro-esquerda","PPL"
"PTDOB","Centro-direita","PTDOB"
"PT","Esquerda","PT"
"PCB","Esquerda","PCB"
"PSOL","Esquerda","PSOL"
"REDE","Centro-esquerda","REDE"
"PROS","Centro-direita","PROS"
"PSB","Centro-esquerda","PSB"
"PDT","Centro-esquerda","PDT"
"PRB","Direita","PRB"
"PR","Direita","PR"
"PRTB","Direita","PRTB"
"PHS","Direita","PHS"
"PPS","Direita","PPS"
"PSC","Direita","PSC"
"PV","Centro-esquerda","PV"
"PTC","Centro-direita","PTC"
"MDB","Centro-direita","MDB"
"PMN","Direita","PMN"
"PODEMOS","Direita","PODEMOS"
"PSL","Direita","PSL"
"PCDOB","Centro-direita","PCDOB"
"SD","Direita","SD"
"PRP","Direita","PRP"
"PSDC","Direita","PSDC"
"PTN","Direita","PTN"
"AVANTE","Centro-direita","AVANTE"
"PATRIOTA","Direita","PATRIOTA"
"DC","Direita","DC"
"PMB","Direita","PMB"
